# 2.2 Gyr
   B-V       V 
 1.665  13.700 
 1.651  13.398 
 1.633  13.015 
 1.595  12.418 
 1.554  11.818 
 1.524  11.391 
 1.514  11.227 
 1.509  11.146 
 1.505  11.090 
 1.503  11.052 
 1.502  11.027 
 1.501  11.008 
 1.500  10.994 
 1.500  10.987 
 1.500  10.977 
 1.489  10.790 
 1.469  10.490 
 1.438   9.899 
 1.431   9.755 
 1.423   9.609 
 1.416   9.473 
 1.409   9.352 
 1.402   9.238 
 1.395   9.117 
 1.387   8.983 
 1.380   8.837 
 1.368   8.693 
 1.357   8.594 
 1.361   8.588 
 1.321   8.248 
 1.205   7.599 
 0.992   6.614 
 0.942   6.403 
 0.887   6.157 
 0.811   5.819 
 0.721   5.440 
 0.689   5.295 
 0.669   5.202 
 0.652   5.120 
 0.636   5.043 
 0.620   4.964 
 0.604   4.883 
 0.591   4.814 
 0.581   4.758 
 0.575   4.724 
 0.560   4.646 
 0.562   4.685 
 0.554   4.643 
 0.546   4.603 
 0.538   4.564 
 0.532   4.526 
 0.525   4.491 
 0.520   4.457 
 0.508   4.365 
 0.504   4.335 
 0.492   4.233 
 0.489   4.197 
 0.486   4.159 
 0.482   4.109 
 0.447   3.837 
 0.442   3.798 
 0.416   3.550 
 0.410   3.476 
 0.407   3.419 
 0.404   3.372 
 0.401   3.332 
 0.399   3.296 
 0.397   3.264 
 0.395   3.232 
 0.388   3.160 
 0.388   3.135 
 0.387   3.109 
 0.383   3.049 
 0.382   3.011 
 0.381   2.976 
 0.380   2.939 
 0.364   2.718 
 0.365   2.703 
 0.366   2.689 
 0.367   2.674 
 0.368   2.659 
 0.369   2.640 
 0.369   2.607 
 0.368   2.487 
 0.370   2.453 
 0.373   2.425 
 0.375   2.400 
 0.379   2.375 
 0.382   2.351 
 0.386   2.328 
 0.390   2.306 
 0.395   2.286 
 0.399   2.267 
 0.404   2.249 
 0.408   2.232 
 0.412   2.216 
 0.416   2.201 
 0.420   2.186 
 0.424   2.171 
 0.427   2.156 
 0.430   2.142 
 0.431   2.128 
 0.432   2.114 
 0.431   2.101 
 0.430   2.088 
 0.428   2.077 
 0.426   2.065 
 0.425   2.063 
 0.424   2.060 
 0.424   2.058 
 0.423   2.055 
 0.422   2.052 
 0.421   2.049 
 0.419   2.045 
 0.418   2.041 
 0.416   2.037 
 0.415   2.033 
 0.413   2.027 
 0.410   2.022 
 0.408   2.016 
 0.405   2.009 
 0.402   2.001 
 0.399   1.993 
 0.395   1.984 
 0.390   1.974 
 0.386   1.962 
 0.381   1.951 
 0.375   1.938 
 0.370   1.924 
 0.364   1.910 
 0.358   1.895 
