# 2.2 Gyr
   B-V       V 
 0.353   1.879 
 0.347   1.863 
 0.342   1.847 
 0.336   1.831 
 0.331   1.815 
 0.326   1.799 
 0.325   1.796 
 0.324   1.796 
 0.324   1.797 
 0.324   1.798 
 0.329   1.817 
 0.337   1.831 
 0.343   1.836 
 0.348   1.839 
 0.353   1.842 
 0.361   1.846 
 0.372   1.848 
 0.383   1.835 
 0.390   1.823 
 0.399   1.816 
 0.408   1.812 
 0.417   1.811 
 0.423   1.811 
 0.428   1.812 
 0.432   1.813 
 0.435   1.814 
 0.444   1.817 
 0.454   1.823 
 0.467   1.830 
 0.485   1.839 
 0.503   1.852 
 0.520   1.871 
 0.538   1.894 
 0.556   1.923 
 0.575   1.956 
 0.593   1.993 
 0.611   2.033 
 0.627   2.074 
 0.643   2.117 
 0.659   2.161 
 0.675   2.206 
 0.691   2.250 
 0.707   2.296 
 0.726   2.340 
 0.747   2.384 
 0.772   2.416 
 0.796   2.427 
 0.814   2.413 
 0.829   2.382 
 0.840   2.342 
 0.848   2.299 
 0.854   2.249 
 0.861   2.201 
 0.866   2.154 
 0.871   2.107 
 0.877   2.060 
 0.882   2.014 
 0.886   1.967 
 0.891   1.921 
 0.896   1.875 
 0.900   1.829 
 0.905   1.784 
 0.909   1.739 
 0.914   1.693 
 0.919   1.649 
 0.923   1.604 
 0.928   1.559 
 0.933   1.515 
 0.938   1.470 
 0.943   1.427 
 0.948   1.383 
 0.953   1.340 
 0.958   1.296 
 0.963   1.253 
 0.968   1.210 
 0.973   1.167 
 0.979   1.124 
 0.984   1.081 
 0.989   1.039 
 0.995   0.997 
 1.000   0.955 
 1.001   0.947 
 1.002   0.939 
 1.003   0.930 
 1.004   0.922 
 1.005   0.914 
 1.006   0.906 
 1.007   0.898 
 1.008   0.890 
 1.009   0.882 
 1.010   0.874 
 1.020   0.798 
 1.030   0.726 
 1.040   0.655 
 1.050   0.589 
 1.058   0.528 
 1.064   0.486 
 1.060   0.506 
 1.058   0.508 
 1.061   0.484 
 1.068   0.430 
 1.073   0.402 
 1.086   0.327 
 1.105   0.214 
 1.125   0.098 
 1.145  -0.011 
 1.166  -0.117 
 1.187  -0.225 
 1.207  -0.325 
 1.226  -0.412 
 1.245  -0.496 
 1.263  -0.578 
 1.281  -0.657 
 1.298  -0.733 
 1.315  -0.805 
 1.332  -0.875 
 1.348  -0.941 
 1.364  -1.004 
 1.380  -1.065 
 1.396  -1.122 
 1.412  -1.177 
 1.427  -1.231 
 1.442  -1.282 
 1.457  -1.331 
 1.471  -1.377 
 1.484  -1.421 
 1.496  -1.462 
 1.508  -1.501 
 1.518  -1.537 
 1.529  -1.570 
 1.538  -1.600 
 1.546  -1.627 
 1.555  -1.652 
 1.565  -1.676 
 1.575  -1.697 
 1.585  -1.716 
 1.594  -1.730 
 1.601  -1.740 
 1.607  -1.746 
 1.610  -1.744 
 1.606  -1.730 
 1.598  -1.709 
 1.585  -1.677 
 1.569  -1.639 
