# 1.9 Gyr
   B-V       V 
 1.656  13.511 
 1.641  13.173 
 1.611  12.652 
 1.567  12.013 
 1.530  11.471 
 1.515  11.246 
 1.510  11.162 
 1.507  11.105 
 1.504  11.060 
 1.502  11.029 
 1.501  11.011 
 1.500  10.996 
 1.500  10.987 
 1.500  10.975 
 1.478  10.622 
 1.443  10.037 
 1.437   9.896 
 1.430   9.753 
 1.423   9.610 
 1.416   9.476 
 1.409   9.356 
 1.402   9.242 
 1.395   9.123 
 1.388   8.991 
 1.380   8.847 
 1.368   8.705 
 1.366   8.668 
 1.364   8.608 
 1.323   8.261 
 1.168   7.445 
 0.981   6.574 
 0.931   6.358 
 0.871   6.088 
 0.771   5.652 
 0.686   5.287 
 0.665   5.189 
 0.648   5.109 
 0.631   5.030 
 0.615   4.949 
 0.598   4.866 
 0.586   4.799 
 0.572   4.721 
 0.563   4.668 
 0.555   4.632 
 0.551   4.622 
 0.539   4.566 
 0.527   4.500 
 0.505   4.341 
 0.479   4.144 
 0.473   4.098 
 0.469   4.059 
 0.465   4.024 
 0.462   3.984 
 0.433   3.764 
 0.429   3.727 
 0.401   3.477 
 0.396   3.425 
 0.393   3.380 
 0.389   3.340 
 0.386   3.303 
 0.383   3.267 
 0.369   3.139 
 0.367   3.111 
 0.365   3.083 
 0.354   2.962 
 0.351   2.916 
 0.349   2.876 
 0.348   2.840 
 0.346   2.802 
 0.331   2.635 
 0.331   2.609 
 0.331   2.582 
 0.324   2.453 
 0.323   2.396 
 0.323   2.349 
 0.324   2.307 
 0.326   2.270 
 0.328   2.251 
 0.329   2.233 
 0.331   2.216 
 0.333   2.200 
 0.335   2.184 
 0.337   2.169 
 0.340   2.154 
 0.342   2.139 
 0.345   2.125 
 0.348   2.110 
 0.351   2.096 
 0.355   2.082 
 0.358   2.068 
 0.362   2.055 
 0.366   2.041 
 0.370   2.028 
 0.375   2.015 
 0.380   2.002 
 0.385   1.989 
 0.389   1.976 
 0.394   1.962 
 0.398   1.949 
 0.402   1.935 
 0.405   1.920 
 0.407   1.905 
 0.408   1.891 
 0.408   1.877 
 0.407   1.863 
 0.404   1.851 
 0.401   1.839 
 0.400   1.837 
 0.399   1.834 
 0.399   1.832 
 0.398   1.830 
 0.397   1.827 
 0.396   1.824 
 0.394   1.821 
 0.393   1.817 
 0.391   1.814 
 0.390   1.810 
 0.388   1.806 
 0.386   1.801 
 0.384   1.796 
 0.381   1.790 
 0.378   1.784 
 0.375   1.778 
 0.371   1.770 
 0.367   1.762 
 0.363   1.753 
 0.358   1.743 
 0.353   1.731 
 0.348   1.719 
 0.342   1.706 
 0.336   1.691 
 0.330   1.676 
 0.324   1.661 
 0.318   1.645 
 0.312   1.629 
 0.305   1.613 
 0.299   1.596 
 0.294   1.581 
 0.289   1.571 
 0.287   1.569 
 0.286   1.568 
 0.285   1.571 
 0.291   1.595 
 0.299   1.615 
 0.305   1.624 
 0.312   1.628 
 0.318   1.631 
 0.325   1.635 
 0.336   1.635 
 0.347   1.620 
 0.355   1.607 
 0.365   1.597 
 0.375   1.591 
 0.385   1.588 
 0.394   1.588 
 0.402   1.589 
 0.408   1.590 
 0.421   1.593 
 0.433   1.599 
 0.445   1.606 
 0.461   1.617 
 0.478   1.629 
 0.495   1.646 
 0.513   1.666 
 0.531   1.691 
 0.549   1.720 
 0.567   1.753 
 0.585   1.790 
 0.602   1.829 
 0.618   1.870 
 0.634   1.912 
 0.649   1.955 
 0.664   1.999 
 0.679   2.043 
 0.695   2.087 
 0.712   2.130 
 0.731   2.171 
 0.754   2.208 
 0.776   2.230 
 0.796   2.233 
 0.813   2.217 
 0.827   2.187 
 0.837   2.148 
 0.846   2.104 
 0.853   2.057 
 0.860   2.010 
 0.865   1.963 
 0.871   1.917 
 0.876   1.870 
 0.881   1.824 
 0.887   1.778 
 0.892   1.732 
 0.896   1.685 
 0.902   1.639 
 0.906   1.594 
 0.911   1.548 
 0.916   1.503 
 0.921   1.457 
 0.926   1.413 
 0.931   1.369 
 0.936   1.325 
 0.941   1.281 
 0.946   1.238 
 0.952   1.194 
 0.957   1.151 
 0.962   1.108 
 0.968   1.065 
 0.973   1.022 
 0.978   0.980 
 0.984   0.938 
 0.990   0.895 
 0.995   0.853 
 0.996   0.845 
 0.997   0.836 
 0.999   0.827 
 1.000   0.818 
 1.001   0.810 
 1.002   0.801 
 1.003   0.792 
 1.004   0.784 
 1.006   0.775 
 1.007   0.767 
 1.018   0.687 
 1.029   0.607 
 1.039   0.533 
 1.050   0.466 
 1.060   0.402 
 1.070   0.342 
 1.078   0.293 
 1.082   0.268 
 1.077   0.290 
 1.071   0.313 
 1.069   0.322 
 1.062   0.358 
 1.070   0.311 
 1.082   0.233 
 1.100   0.128 
 1.123   0.002 
 1.145  -0.115 
 1.167  -0.229 
 1.187  -0.327 
 1.206  -0.417 
 1.225  -0.503 
 1.243  -0.586 
 1.261  -0.665 
 1.279  -0.742 
 1.296  -0.815 
 1.313  -0.886 
 1.329  -0.953 
 1.345  -1.017 
 1.361  -1.079 
 1.377  -1.137 
 1.392  -1.193 
 1.407  -1.246 
 1.422  -1.298 
 1.436  -1.347 
 1.450  -1.394 
 1.464  -1.439 
 1.477  -1.481 
 1.489  -1.522 
 1.501  -1.560 
 1.512  -1.595 
 1.522  -1.628 
 1.531  -1.658 
 1.540  -1.685 
 1.548  -1.710 
 1.556  -1.733 
