# NGC 2420
# Distance = 2390 pc
#  B-V       V 
 0.391  14.485 
 0.389  14.585 
 0.366  14.635 
 0.366  14.946 
 0.350  15.078 
 0.377  15.146 
 0.373  15.221 
 0.406  15.519 
 0.450  15.744 
 0.453  15.962 
 0.462  15.992 
 0.457  16.085 
 0.462  16.133 
 0.482  16.282 
 0.497  16.309 
 0.508  16.346 
 0.562  16.793 
 0.569  16.811 
 0.577  16.909 
 0.694  17.113 
 0.600  17.024 
 0.615  17.027 
 0.837  17.349 
 0.653  17.244 
 0.683  17.399 
 0.938  12.492 
 0.799  14.495 
 0.350  14.754 
 0.375  14.891 
 0.376  14.898 
 0.369  15.027 
 0.412  15.604 
 0.444  15.886 
 0.483  16.216 
 0.651  16.588 
 0.534  16.595 
 0.551  16.631 
 0.556  16.692 
 0.548  16.698 
 0.562  16.692 
 0.568  16.858 
 0.568  16.876 
 0.735  17.255 
 0.838  17.424 
 0.646  17.212 
 0.718  17.628 
 0.369  15.283 
 0.422  15.652 
 0.430  15.720 
 0.457  16.029 
 0.485  16.277 
 0.502  16.332 
 0.508  16.332 
 0.515  16.434 
 0.560  16.620 
 0.639  17.142 
 0.641  17.256 
 0.829  17.462 
 0.667  17.361 
 0.693  17.485 
 0.368  14.659 
 0.362  14.655 
 0.394  14.866 
 0.370  15.037 
 0.369  15.131 
 0.365  15.328 
 0.389  15.538 
 0.457  16.052 
 0.594  16.883 
 0.595  16.950 
 0.618  17.096 
 0.625  17.200 
 0.697  17.497 
 0.519  16.506 
 0.531  16.581 
 0.548  16.649 
 0.585  16.748 
 0.573  16.761 
 0.565  16.768 
 0.583  16.840 
 0.609  16.957 
 0.601  16.989 
 0.696  17.389 
 0.742  17.713 
 0.779  17.869 
 0.377  14.578 
 0.370  14.934 
 0.357  15.161 
 0.381  15.315 
 0.464  16.021 
 0.531  16.561 
 0.558  16.759 
 0.566  16.844 
 0.574  16.835 
 0.618  17.070 
 0.723  17.591 
 0.397  15.354 
 0.436  15.822 
 0.502  16.337 
 0.542  16.636 
 0.589  16.848 
 0.607  16.994 
 0.613  17.024 
 0.760  17.625 
 0.361  14.756 
 0.371  15.159 
 0.467  16.128 
 0.495  16.434 
 0.573  16.547 
 0.596  16.974 
 0.624  17.058 
 0.361  14.646 
 0.426  15.774 
 0.438  15.788 
 0.427  15.786 
 0.493  16.224 
 0.508  16.399 
 0.529  16.645 
 0.628  17.117 
 0.726  17.326 
 0.651  17.224 
 0.735  17.675 
 0.925  13.043 
 0.382  14.401 
 0.383  15.518 
 0.425  15.614 
 0.429  15.751 
 0.441  15.845 
 0.454  15.992 
 0.480  16.271 
 0.608  17.056 
 0.440  15.947 
 0.699  17.335 
 0.985  16.713 
