1226,20.818,19.686,18.427,18.214,17.461
971,19.225,18.69,18.104,18.007,17.389
1751,20.948,19.552,18.305,18.097,17.406
1802,19.088,18.849,18.985,18.78,18.648
867,19.603,19.406,19.547,19.411,19.254
127,21.347,20.725,19.428,19.468,19.081
1963,20.814,20.108,18.967,18.805,18.302
2036,22.324,20.489,18.924,18.549,18.113
2097,21.204,20.526,19.132,19.92,19.023
1541,19.783,19.121,18.185,18.091,17.508
1561,19.525,19.248,18.322,18.021,17.41
603,20.805,19.737,18.484,18.218,17.879
1304,22.546,20.301,18.726,18.3,17.801
838,21.724,20.739,19.7,19.441,18.903
767,21.24,20.003,18.749,18.453,17.798
279,23.108,20.974,19.473,18.977,18.49
1676,21.016,20.591,19.949,19.73,19.201
1600,22.564,21.106,20.091,19.568,19.074
1582,22.191,20.851,19.684,19.142,18.87
1348,23.484,21.246,20.336,19.679,19.29
47,21.715,20.49,19.168,18.456,18.17
2363,20.818,20.087,19.668,18.61,18.618
1508,19.797,19.586,19.17,19.655,19.197
1290,20.054,19.797,19.454,19.76,19.182
2005,20.061,19.828,19.416,19.811,19.221
1516,19.719,19.475,18.956,19.589,18.955
1825,19.513,19.194,18.819,18.966,18.379
847,21.67,21.619,21.12,22.127,21.251
2042,21.036,20.915,20.664,20.956,20.668
560,20.889,20.821,20.626,20.995,20.289
225,19.835,19.551,19.246,19.347,19.028
1791,21.006,20.44,20.023,20.02,19.434
1953,20.075,19.722,19.553,19.495,19.057
1759,21.37,21.041,20.979,20.248,20.582
1038,20.338,20.119,20.092,19.579,19.778
